# SHA-256 of each downloaded series. The series digest is the
# SHA-256 of its per-file digests, sorted and joined by newlines,
# so it does not depend on the order files arrive in.
# sha256  files  bytes  series_uid
ddfba4fad7704862bfab3a434c66581cdbe4b5ba3f340d4ced2f4fef83a5570c  60  6075636  1.3.6.1.4.1.14519.5.2.1.225069009331763063158517185634349746914
5b18162fd5794d3abceace533fe91a54b8688b2b7f5fca2e66482ace29b9eb58  60  6086690  1.3.6.1.4.1.14519.5.2.1.225682668720127904622207410162937325598
6a823cfdf87b00b46fd530d4a80c6b7595cf9d86f214c52162a4aa7a0bb268f4  93  149749416  1.3.6.1.4.1.14519.5.2.1.226261904453943347224490007922670494247
51e70a24dbc244d0074dc93ba743e584e63828a65da11d99145c3b6c0c8a842a  192  19431084  1.3.6.1.4.1.14519.5.2.1.228093130660252311262036158759117530656
42b12d96c5aa4a8cd5d534af4aa91fcc8bfe8e77135193e877e29d79b8f0852a  192  32024906  1.3.6.1.4.1.14519.5.2.1.229057569993819936198399978520565420668
3c4e8d4df82b1db338d7c93bd33f147084dd14729ad9a2f200f38c66cdbeb1c5  60  6077414  1.3.6.1.4.1.14519.5.2.1.233392114094263958097513703187802196755
3cfca48077bb0edbca07ffb6df2cd6c83aef66ac91cd4c2582054792f72565fd  900  33304744  1.3.6.1.4.1.14519.5.2.1.233579127127985379925015838148642231198
d334f24f672ce850dfcbc8d929bcf1ea256015ead32cca79e22816363c345186  93  149744410  1.3.6.1.4.1.14519.5.2.1.235043679908209430810882252998403814680
95e72a8e279bef2815baaf0fda90f6f73c87a7977036a9a3bbfe21fa9eeacbd1  192  19443756  1.3.6.1.4.1.14519.5.2.1.235590038741260734479677453832206978849
16d6dbcecf09b5964062d72f752ab58d37df118af64be342e386866e8dbfe7d5  93  149762100  1.3.6.1.4.1.14519.5.2.1.238187362821305587031966166171923854959
571ac1e95547257263958c4444251130c479e541d1278041341f66bc00196b09  900  32597990  1.3.6.1.4.1.14519.5.2.1.239087053775129907798667863205692697609
634ff91f49ef9a4f5eb6fda41ad25babc6b034b9a4e65b3158d854e81a179157  60  6070482  1.3.6.1.4.1.14519.5.2.1.239112564510825053411345965170275468107
2d116fd0e63880496f590e2bb04a1d90a5d13224a8f7eb24eefce3dd2cdd3b5f  192  32027164  1.3.6.1.4.1.14519.5.2.1.239606318579578939854753084170477385344
63ae0f2df3185e73f064c7b422bc4bca779058af55fe89b955ed9ce35bfc2195  64  7000510  1.3.6.1.4.1.14519.5.2.1.240820931110964229371681304232637083292
e94d91650459b2f4344efde56a27f56d3b7bdfe04ff30763084fb4d2a2814ad6  93  149750572  1.3.6.1.4.1.14519.5.2.1.241315458269272795969690863512895014240
e354b9d5cd7d61684ac04d44e7362547b07f063a5de1771fb8ae1385cf786564  93  149744600  1.3.6.1.4.1.14519.5.2.1.243172636437994318384607305419484632288
1e1f9f82e95e6c88f0d1defe9b9f5619ace2423a24b42c879ac28122f57f9bcc  192  32021312  1.3.6.1.4.1.14519.5.2.1.243753491362703978877750151344755313432
2a3bbfc4d99e271a7d827f9c09b1875d524a75653966aa936d1f4fe4821992dd  93  149751344  1.3.6.1.4.1.14519.5.2.1.246900904147252235773234976516735121531
923ad8d15153bf84b1ef5aa1ed1ff13985b0e3de7b67cac36325396d7f427d4b  93  149752334  1.3.6.1.4.1.14519.5.2.1.248363764190866495452049589561678881402
5b2dd2c102ec78924e679548deca2a20003ee97ed492899a23da984e99f4f0d7  192  19446130  1.3.6.1.4.1.14519.5.2.1.249553283594946810598643173621075238051
7fbff41536e48ae94507ff8be9ab149bfe5a034046a45e7f5026f97856c9de0e  64  6999832  1.3.6.1.4.1.14519.5.2.1.249718375977128072999034273477290147123
